CATID,z_spec,Mstar,M_r,r_e,SIGMA_RE,SIGMA_RE_ERR,LAMBDAR_RE_MGE,LAMBDAR_RE_MGE_ERR,TYPE,WARNSKER,WARNZ,ISBEST,epsMGE_Re
7289,0.0868199989,11.1199998856,-22.3700008392,4.9600000381,205.1452789307,1.8772923946,0.0559643097,0.0069313175,0.5,0,0,1,0.2121241838
7839,0.0474900007,11.0500001907,-22.1000003815,6.9499998093,195.7611236572,1.6140422821,0.3017122447,0.0045705456,0.5,0,0,1,0.2101082355
7969,0.0855399966,11.0200004578,-22.1200008392,5.1700000763,249.7976531982,2.4518451691,0.044866167,0.00666484,0.5,0,0,1,0.0979065374
8488,0.0199599992,9.5100002289,-18.3600006104,1.4199999571,74.4508056641,1.0931452513,,,0.0,0,0,1,0.0454293489
8865,0.0731400028,10.6599998474,-21.1599998474,2.5,214.6797637939,2.8171825409,,,0.0,0,0,1,0.0418064147
15481,0.0540699996,11.0799999237,-22.2299995422,5.6300001144,225.8518218994,2.2824518681,0.0591997541,0.0050658016,0.0,0,0,1,0.0349203013
16022,0.053679999,10.4099998474,-20.6499996185,2.1900000572,119.5870056152,1.154838562,0.0365379266,0.0103914486,0.5,0,0,1,0.0392235294
16526,0.0562399998,10.2600002289,-20.3700008392,2.2400000095,98.5265655518,1.980157733,0.1961243451,0.0182138402,0.0,0,0,1,0.0
22582,0.0778099969,11.0600004196,-22.2600002289,3.7300000191,222.052947998,1.751277566,0.1261198521,0.006010741,0.5,0,0,1,0.1697944552
23082,0.0785500035,11.0799999237,-22.2099990845,3.0499999523,253.0085601807,1.7546430826,0.0519312508,0.0055942195,0.0,0,0,1,0.0650114566
23265,0.0779799968,11.0,-22.0200004578,3.0199999809,182.956237793,2.5833027363,0.1497017294,0.009281639,0.0,0,0,1,0.0991621464
23341,0.0783300027,11.0100002289,-22.0200004578,3.3599998951,257.7335510254,2.1715445518,0.2119548321,0.0074470248,0.0,0,0,1,0.1278461814
30469,0.0763999969,11.1599998474,-22.4099998474,4.6999998093,235.7994384766,1.9728507996,0.1250542551,0.0056514274,0.5,0,0,1,0.1887453943
30615,0.0786599964,11.1300001144,-22.2600002289,4.5399999619,285.8886108398,2.6571280956,0.1772489846,0.0069348831,0.5,0,0,1,0.1092993468
30847,0.1067399979,11.4399995804,-23.1100006104,4.0100002289,251.1029663086,2.2748298645,0.2295132279,0.0061212904,0.5,0,0,1,0.214426294
31623,0.0924699977,11.3100004196,-22.7700004578,5.6199998856,268.3883666992,2.0308909416,0.0894070044,0.0048197629,0.5,0,0,1,0.1696380824
32196,0.0759499967,11.279999733,-22.75,5.7600002289,172.5654754639,1.5652979612,0.0635137782,0.0059757661,0.0,0,0,1,0.0789629519
40445,0.0828899965,11.2899999619,-22.6100006104,6.4800000191,196.5525817871,2.326895237,0.0897693485,0.0073128114,0.0,0,0,1,0.1450311393
40491,0.077229999,10.4600000381,-20.8799991608,2.75,122.2786865234,1.864597559,0.2970451713,0.0129228234,0.5,0,0,1,0.1210211441
41059,0.0707900003,11.3199996948,-22.8099994659,5.3600001335,262.3698730469,1.9752497673,0.060755007,0.0047833789,0.0,0,0,1,0.0809521079
41180,0.0844400004,10.470000267,-20.8400001526,1.8099999428,152.4698944092,2.6819348335,,,0.0,0,0,1,0.0343796425
41274,0.0727600008,10.5799999237,-21.1299991608,2.2699999809,118.1923751831,1.5283350945,0.1263854355,0.0108541287,0.5,0,0,1,0.078319639
47152,0.0825999975,11.0600004196,-22.2000007629,3.8900001049,196.8641815186,2.0083796978,0.0467696413,0.0089156963,0.0,0,0,1,0.1257182807
47254,0.0547300018,11.029999733,-22.1200008392,3.75,195.2866973877,1.2542456388,0.2543804944,0.0045937621,0.0,0,0,1,0.0806421041
48470,0.0795599967,11.0100002289,-22.2299995422,3.5299999714,160.6139221191,1.6742634773,0.1623386592,0.0083241928,0.0,0,0,1,0.0992362872
48548,0.0828099996,11.0500001907,-22.1900005341,3.9100000858,191.3053131104,2.3674359322,0.1611727625,0.0095519172,0.5,0,0,1,0.2497977018
54202,0.0471699983,10.5799999237,-21.0200004578,3.0399999619,177.3406219482,1.4870948792,0.1723549664,0.007221228,0.0,0,0,1,0.1182197779
54270,0.0834399983,11.279999733,-22.7099990845,4.8699998856,264.9578552246,2.4710099697,0.1052356064,0.0065349089,0.0,0,0,1,0.0630395785
54500,0.0807299986,10.9300003052,-21.8700008392,6.6700000763,191.5647277832,3.4076478481,0.0619627386,0.0097265942,0.5,0,0,1,0.1026664227
54921,0.093659997,10.9899997711,-22.0599994659,3.2999999523,165.0886688232,2.379178524,0.3067987263,0.0109634148,0.0,0,0,1,0.0715631247
56181,0.050590001,10.3199996948,-20.7399997711,1.8600000143,88.3695755005,1.8577718735,,,0.0,0,0,1,0.1293937862
62239,0.0531499982,10.8900003433,-21.9099998474,7.5300002098,125.1343460083,1.4166104794,0.3023407459,0.0065486594,0.0,0,0,1,0.076590769
62244,0.0532899983,10.1499996185,-19.9599990845,1.1100000143,166.5318145752,2.4634208679,,,0.0,0,0,1,0.167514652
65408,0.0434099995,10.9200000763,-21.9500007629,5.2899999619,182.3932037354,1.1168879271,0.1039054766,0.0045191217,0.0,0,0,1,0.1216115355
65410,0.0435900018,10.0500001907,-20.0699996948,2.1700000763,88.8696670532,1.5993541479,0.0696147531,0.0150905894,0.5,0,0,1,0.2131639272
70022,0.0598899983,10.9399995804,-21.7900009155,4.0900001526,217.7155151367,1.8447426558,0.1083418205,0.0076419474,0.5,0,0,1,0.0331088863
70640,0.0797699988,10.9099998474,-21.7800006866,5.6300001144,195.3615722656,2.6263666153,0.1357939541,0.0108377393,0.5,0,0,1,0.0982054174
